describe,evaluate,introduce,movie_name,num,star
人的命运被自己瞬间的抉择改变。,426641人评价,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,76,8.7
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,345647人评价,2008/日本/剧情,入殓师,77,8.8
爱情纠缠，男女一致。,280258人评价,1997/香港日本韩国/剧情爱情同性,春光乍泄,78,8.8
经典之作，历久弥新。,116951人评价,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,79,9.3
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,200305人评价,1987/意大利中国大陆英国法国/剧情传记历史,末代皇帝,80,9.0
你是我最好的朋友，你是我唯一的朋友 。,249377人评价,2009/澳大利亚/剧情动画,玛丽和马克思,81,8.9
人生中应该拥有这样的一段豁然开朗。,305203人评价,1997/美国/剧情,心灵捕手,82,8.8
一场华丽的意淫。,303614人评价,1994/中国大陆香港/剧情,阳光灿烂的日子,83,8.8
人与自然的战争史诗。,261923人评价,1997/日本/动作爱情战争动画奇幻冒险,幽灵公主,84,8.8
深入内心的恐怖，出人意料的结局。,260229人评价,1999/美国/剧情悬疑惊悚,第六感,85,8.8
小清新的故事里注入了大历史的情怀。,362238人评价,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,86,8.8
寂寞没有期限。,372122人评价,1994/香港/剧情爱情,重庆森林,87,8.7
童话世界的开端。,298224人评价,2001/美国英国/奇幻冒险,哈利·波特与魔法石,88,8.7
昔日翩翩少年，今日大腹便便。,403364人评价,2010/美国/剧情悬疑惊悚,禁闭岛,89,8.7
人言可畏。,148905人评价,2012/丹麦瑞典/剧情,狩猎,90,9.0
骗子大师和执著警探的你追我跑故事。 ,264033人评价,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,91,8.8
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,279469人评价,2003/美国/剧情家庭奇幻冒险,大鱼,92,8.7
最不可能的那个人永远是最可能的。,355403人评价,2003/美国/剧情悬疑惊悚,致命ID,93,8.7
每个人心中都有一座断背山。,355074人评价,2005/美国加拿大/剧情爱情同性家庭,断背山,94,8.7
相逢只要一瞬间，等待却像是一辈子。,255085人评价,1996/香港/剧情爱情,甜蜜蜜,95,8.8
百看不厌。 ,305684人评价,1993/香港/喜剧古装,射雕英雄传之东成西就,96,8.7
我们都曾经是一一。,172068人评价,2000/台湾日本/剧情爱情家庭,一一,97,8.9
没有一人完全善，也没有一人完全恶。,378338人评价,2010/日本/剧情惊悚,告白,98,8.7
约翰尼·德普的独角戏。,385441人评价,2003/美国/动作冒险奇幻,加勒比海盗,99,8.6
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,298013人评价,2011/韩国/剧情喜剧,阳光姐妹淘,100,8.8
